,stories,topics,locations,left,center,right,story_links,majority_coverage,n_sources,title,source,sample,lean,date
0,Cheney says she’s ‘thinking about’ running for president,Liz Cheney, Wyoming,32%,36%,32%,http://ground.news/article/cheney-says-shes-thinking-about-running-for-president_0420b6,Center,25,Liz Cheney considers run for president after Republican primary defeat,The Guardian,Wyoming congresswoman says ‘It’s something I’m thinking about’ after losing to Trump-backed challenger,left,2022-08-17
0,Cheney says she’s ‘thinking about’ running for president,Liz Cheney, Wyoming,32%,36%,32%,http://ground.news/article/cheney-says-shes-thinking-about-running-for-president_0420b6,Center,25,"Trump foe Cheney loses Wyoming GOP primary, ponders 2024 bid",CTV News,"Wyoming Rep. Liz Cheney, Donald Trump's fiercest Republican adversary in Congress, soundly lost a GOP primary, falling to a rival backed by the former U.S. president in a rout that reinforced his grip on the party's base.",center,2022-08-17
0,Cheney says she’s ‘thinking about’ running for president,Liz Cheney, Wyoming,32%,36%,32%,http://ground.news/article/cheney-says-shes-thinking-about-running-for-president_0420b6,Center,25,Lincoln Project declares death of Republican party after Liz Cheney defeat,The Independent,Anti-Trump group says GOP is ‘in fact an authoritarian nationalist cult dedicated only to Donald Trump’,left,2022-08-17
0,Cheney says she’s ‘thinking about’ running for president,Liz Cheney, Wyoming,32%,36%,32%,http://ground.news/article/cheney-says-shes-thinking-about-running-for-president_0420b6,Center,25,"Rep. Liz Cheney, fresh off Wyoming primary loss, says she's considering 2024 presidential run: updates",USA Today,"Hours after losing her primary election, Rep. Liz Cheney said will decide on a presidential bid 'in the coming months.'",left,2022-08-17
0,Cheney says she’s ‘thinking about’ running for president,Liz Cheney, Wyoming,32%,36%,32%,http://ground.news/article/cheney-says-shes-thinking-about-running-for-president_0420b6,Center,25,Liz Cheney says she is thinking about a 2024 presidential run,Washington Times,"Rep. Liz Cheney hasn’t made up her mind about launching a 2024 presidential bid, the Wyoming Republican said Wednesday, one day after losing her primary to a challenger backed by former President Donald Trump.",right,2022-08-17
0,Cheney says she’s ‘thinking about’ running for president,Liz Cheney, Wyoming,32%,36%,32%,http://ground.news/article/cheney-says-shes-thinking-about-running-for-president_0420b6,Center,25,Liz Cheney Says She’s ‘Thinking’ About Running for President in 2024,New York Times,"Ms. Cheney, who lost heavily in her Wyoming primary on Tuesday, acknowledged that she was considering a White House bid. She also announced a new political action committee.",left,2022-08-17
1,Pence condemns attacks on FBI after Mar-a-Lago search,Mike Pence, Washington,55%,36%,9%,http://ground.news/article/pence-condemns-attacks-on-fbi-after-mar-a-lago-search,Left,11,Pence tells GOP to stop lashing out at FBI over Trump search,The Independent,Former Vice President Mike Pence is urging fellow Republicans to stop lashing out at the FBI over the search of former President Donald Trump’s Florida home last week,left,2022-08-17
1,Pence condemns attacks on FBI after Mar-a-Lago search,Mike Pence, Washington,55%,36%,9%,http://ground.news/article/pence-condemns-attacks-on-fbi-after-mar-a-lago-search,Left,11,Pence tells GOP to stop lashing out at FBI over Trump search,Associated Press News,Former Vice President Mike Pence on Wednesday urged fellow Republicans  to stop lashing out at the FBI  over the search of former President Donald Trump’s Florida home  last week. ,left,2022-08-17
1,Pence condemns attacks on FBI after Mar-a-Lago search,Mike Pence, Washington,55%,36%,9%,http://ground.news/article/pence-condemns-attacks-on-fbi-after-mar-a-lago-search,Left,11,Pence condemns attacks on FBI after Mar-a-Lago search,The Hill,Former Vice President Mike Pence on Wednesday criticized some members of his own party who have attacked the FBI in recent days over the search of former President Trump’s estate in Florida. …,center,2022-08-17
1,Pence condemns attacks on FBI after Mar-a-Lago search,Mike Pence, Washington,55%,36%,9%,http://ground.news/article/pence-condemns-attacks-on-fbi-after-mar-a-lago-search,Left,11,Pence tells GOP to stop lashing out at FBI over Trump search - Local News 8,KIFI,"By HOLLY RAMER Associated Press MANCHESTER, N.H. (AP) — Former Vice President Mike Pence is urging fellow Republicans to stop lashing out at the FBI over the search of former President Donald Trump’s Florida home last week. During an appearance Wednesday in New Hampshire, Pence was asked what went through his mind when he heard",center,2022-08-17
