,0
38000,10031
38001,11370
38002,11249
38003,11235
38004,11238
38005,11226
38006,11235
38007,10014
38008,10304
38009,10018
38010,10003
38011,11225
38012,10039
38013,10009
38014,10021
38015,11222
38016,11218
38017,10028
38018,10075
38019,10027
38020,11249
38021,10027
38022,11203
38023,11211
38024,11691
38025,10022
38026,11691
38027,11221
38028,11206
38029,10030
38030,10029
38031,10026
38032,10029
38033,10038
38034,11201
38035,10011
38036,11412
38037,11249
38038,11235
38039,10040
38040,11201
38041,11434
38042,11206
38043,11105
38044,10040
38045,11237
38046,11225
38047,11354
38048,11385
38049,10012
38050,11207
38051,11412
38052,11215
38053,11206
38054,11412
38055,11233
38056,11222
38057,11229
38058,10014
38059,11354
38060,11354
38061,10032
38062,11249
38063,10031
38064,11103
38065,11385
38066,11209
38067,11435
38068,10014
38069,11211
38070,11206
38071,11222
38072,10027
38073,10025
38074,11233
38075,10028
38076,11374
38077,10036
38078,11213
38079,10031
38080,10128
38081,10128
38082,10018
38083,10018
38084,11221
38085,11102
38086,10021
38087,11233
38088,11215
38089,11225
38090,11201
38091,10027
38092,11206
38093,11434
38094,11222
38095,10032
38096,11205
38097,10306
38098,10009
38099,11225
38100,11203
38101,10030
38102,11354
38103,11217
38104,11205
38105,11211
38106,10033
38107,10029
38108,11226
38109,10014
38110,10025
38111,11211
38112,10025
38113,10002
38114,10026
38115,10021
38116,11377
38117,11238
38118,10463
38119,10012
38120,10018
38121,11216
38122,10013
38123,11354
38124,10019
38125,10012
38126,10018
38127,11216
38128,11354
38129,11377
38130,11385
38131,11216
38132,11216
38133,11238
38134,10036
38135,11222
38136,11222
38137,11211
38138,10012
38139,11221
38140,11211
38141,11206
38142,11221
38143,10002
38144,10014
38145,10009
38146,11102
38147,10013
38148,10036
38149,10001
38150,11354
38151,10026
38152,10011
38153,11226
38154,10019
38155,10005
38156,10006
38157,11205
38158,10024
38159,11235
38160,10469
38161,11236
38162,11249
38163,11206
38164,10022
38165,10031
38166,11222
38167,11225
38168,11216
38169,10471
38170,11102
38171,10069
38172,10013
38173,10003
38174,11238
38175,11205
38176,11213
38177,11222
38178,10016
38179,10037
38180,10016
38181,10031
38182,10032
38183,10012
38184,11237
38185,10011
38186,11205
38187,10005
38188,11434
38189,11206
38190,10027
38191,10012
38192,11362
38193,10019
38194,10456
38195,11203
38196,11221
38197,10032
38198,11221
38199,10019
38200,10019
38201,11105
38202,10029
38203,11226
38204,11205
38205,11103
38206,11205
38207,10022
38208,11235
38209,10011
38210,10017
38211,10012
38212,10023
38213,10011
38214,10026
38215,10005
38216,10010
38217,10039
38218,11220
38219,11211
38220,10009
38221,10026
38222,11237
38223,10003
38224,10026
38225,11221
38226,10026
38227,10012
38228,11251
38229,11206
38230,11206
38231,11226
38232,10002
38233,11205
38234,11238
38235,10011
38236,11217
38237,10009
38238,11238
38239,10452
38240,11226
38241,10454
38242,10002
38243,10003
38244,10031
38245,11374
38246,11222
38247,10031
38248,11203
38249,10033
38250,10014
38251,10014
38252,11204
38253,10075
38254,10031
38255,11211
38256,11211
38257,11221
38258,10009
38259,11203
38260,10045
38261,10022
38262,10128
38263,10029
38264,11367
38265,10022
38266,10018
38267,11103
38268,10018
38269,10018
38270,10018
38271,11377
38272,11206
38273,10002
38274,11215
38275,11420
38276,10002
38277,11226
38278,11238
38279,11385
38280,11233
38281,11217
38282,11207
38283,11222
38284,10017
38285,10069
38286,11219
38287,10002
38288,10025
38289,10003
38290,10003
38291,10027
38292,10014
38293,10005
38294,10038
38295,10011
38296,10075
38297,10036
38298,10025
38299,11221
38300,11211
38301,10028
38302,11225
38303,11221
38304,11206
38305,11105
38306,10025
38307,10013
38308,11372
38309,10019
38310,10017
38311,10022
38312,10022
38313,10022
38314,10022
38315,10022
38316,10022
38317,10017
38318,10022
38319,10022
38320,10017
38321,10022
38322,10017
38323,10022
38324,10022
38325,10022
38326,10022
38327,10022
38328,10022
38329,10022
38330,10022
38331,10022
38332,10017
38333,10017
38334,10022
38335,10022
38336,11105
38337,11213
38338,11358
38339,10002
38340,10001
38341,10022
38342,10035
38343,11215
38344,11238
38345,10025
38346,11385
38347,10021
38348,10031
38349,11237
38350,11220
38351,10007
38352,11374
38353,10301
38354,10013
38355,10003
38356,11237
38357,11211
38358,10011
38359,10021
38360,11102
38361,11223
38362,10004
38363,10019
38364,11211
38365,10027
38366,10018
38367,10018
38368,11215
38369,11372
38370,11373
38371,11373
38372,10014
38373,10001
38374,10001
38375,11373
38376,10009
38377,10003
38378,10467
38379,10001
38380,10464
38381,10021
38382,10029
38383,10001
38384,10017
38385,10001
38386,11375
38387,10021
38388,11216
38389,10039
38390,11216
38391,11205
38392,10022
38393,11226
38394,10018
38395,11226
38396,11377
38397,10002
38398,11211
38399,10012
38400,11414
38401,10031
38402,11221
38403,10031
38404,11226
38405,11220
38406,11233
38407,11233
38408,11233
38409,11233
38410,11233
38411,11233
38412,11221
38413,11206
38414,10017
38415,11203
38416,10036
38417,11203
38418,11216
38419,11222
38420,11237
38421,11203
38422,11203
38423,10021
38424,10023
38425,11237
38426,10305
38427,10128
38428,10031
38429,10044
38430,11218
38431,11201
38432,10002
38433,10461
38434,11211
38435,11233
38436,11222
38437,11372
38438,10010
38439,11222
38440,11217
38441,11211
38442,11414
38443,11369
38444,11367
38445,11213
38446,11237
38447,10023
38448,11233
38449,11207
38450,11239
38451,10011
38452,11213
38453,11225
38454,11104
38455,11216
38456,11106
38457,10012
38458,11221
38459,11101
38460,10002
38461,10035
38462,10040
38463,10009
38464,11206
38465,11203
38466,10001
38467,10035
38468,11235
38469,11209
38470,10031
38471,10040
38472,11216
38473,11236
38474,11231
38475,10036
38476,11206
38477,10016
38478,10028
38479,10034
38480,10023
38481,11385
38482,11216
38483,10033
38484,10032
38485,10039
38486,10037
38487,10014
